ix,BAC,age,collection_date,drink_type,num_drinks,sex,units,volume_consumed,weight
279,0.113386603,462,2018-01-29T12:21:46.293364,IPA,3.9,Female,SI,1385.882462,269.1654955
280,0.440595975,277,2018-01-29T12:21:46.293529,Merlot,9.8,F,metric,1450.583271,179.7307753
281,0.015025395,575,2018-01-29T12:21:46.293687,Wine,0.5,F,,2.5,158.34
282,0.240457509,24,2018-01-29T12:21:46.293948,Merlot,7.2,F,,36,164.29
283,0.017502062,387,2018-01-29T12:21:46.294226,Franziskaner Weissbier,0.8,M,metric,285.8614377,294.7767614
284,0.088591728,2/1/96,2018-01-29T12:21:46.294531,Franziskaner Weissbier,3.4,M,metric,1208.677127,286.0127892
285,0.100887197,23,2018-01-29T12:21:46.294721,whiskey,3.2,Male,,4.8,146.45
286,0.058927646,433,2018-01-29T12:21:46.294993,Franziskaner Weissbier,2.8,meal,,33.6,198.46
287,0.022084008,675,2018-01-29T12:21:46.295184,Bud Light,0.4,F,,4.8,142.41
288,0.102315285,541,2018-01-29T12:21:46.295346,shots,3.9,meal,,5.85,171.49
289,0.025715902,64,2018-01-29T12:21:46.295501,Franziskaner Weissbier,1.2,Male,,14.4,196.98
290,0.02001902,368,2018-01-29T12:21:46.295668,Wine,0.8,,metric,118.6014684,249.9414745
291,0.048965874,436,2018-01-29T12:21:46.295836,Beer,1.4,female,SI,498.3761538,231.5056813
292,0.023091054,683,2018-01-29T12:21:46.295999,Beer,0.4,Female,SI,140.4841038,239.1484316
293,0.103483594,12/23/57,2018-01-29T12:21:46.296160,Cab,2.9,Female,,14.5,162.31
294,0.131306725,9/11/58,2018-01-29T12:21:46.296324,whiskey,3,femeal,,4.5,133.4
295,0.018092072,9/6/63,2018-01-29T12:21:46.296491,vidka,0.5,meal,metric,21.52218373,224.0225707
296,0.019922333,446,2018-01-29T12:21:46.296689,Warsteiner,0.7,F,,8.4,162.6
297,0.115385224,767,2018-01-29T12:21:46.296974,whiskey,3.5,,metric,154.4648491,247.3762997
298,0.111141151,64,2018-01-29T12:21:46.297146,Wine,3.1,femeal,metric,458.3128694,234.9836649
299,0.092133554,532,2018-01-29T12:21:46.297332,Scotch,4.5,meal,SI,198.9923427,323.9741692
300,0.042476934,45,2018-01-29T12:21:46.297501,Beer,1.6,Female,metric,569.0069175,281.8104626
301,0.113891524,618,2018-01-29T12:21:46.297674,Vin,3.4,F,,17,169.36
302,0.087452591,262,2018-01-29T12:21:46.297822,Vin,2.3,Female,metric,339.9036919,214.1220848
303,0.067723722,406,2018-01-29T12:21:46.297983,whiskey,3,male,,4.5,207.43
304,0.009535028,564,2018-01-29T12:21:46.298130,Warsteiner,0.5,Male,,6,189.78
305,0.038803335,280,2018-01-29T12:21:46.298276,whiskey,1.1,female,metric,46.26672316,225.2153007
306,0.239074437,26,2018-01-29T12:21:46.298600,Scotch,7.4,F,,11.1,171.28
307,0.040939487,39,2018-01-29T12:21:46.298833,Bud Light,1.9,meal,,22.8,155.12
308,0.106117199,6/26/68,2018-01-29T12:21:46.299004,whiskey,4.6,Male,,6.9,207.36
309,0.030674476,254,2018-01-29T12:21:46.299174,Scotch,1.2,meal,,1.8,163.43
310,0.050601599,464,2018-01-29T12:21:46.299324,Bud Light,1.9,meal,metric,674.8941424,255.7278022
311,0.071436772,679,2018-01-29T12:21:46.299486,vidka,3.1,meal,metric,136.6020139,252.7357575
312,0.102047128,692,2018-01-29T12:21:46.299643,IPA,2.6,femeal,,31.2,154.12
313,0.098785525,4/22/95,2018-01-29T12:21:46.299797,Vin,4.4,M,metric,652.4640459,303.9027914
314,0.150397286,400,2018-01-29T12:21:46.299970,Franziskaner Weissbier,6.8,Male,,81.6,214.28
315,0.352058623,21,2018-01-29T12:21:46.300117,Vin,9.5,female,SI,1406.718196,216.1868038
316,0.016844106,1/27/64,2018-01-29T12:21:46.300299,Vino,0.5,male,metric,75.19476136,328.2043462
317,0.218341775,3/5/91,2018-01-29T12:21:46.300472,Franziskaner Weissbier,8.4,female,,100.8,214.69
318,0.26331523,23,2018-01-29T12:21:46.300632,shots,7.5,femeal,metric,333.3126715,227.5712221
319,0.11474016,754,2018-01-29T12:21:46.300803,Scotch,3.2,female,SI,142.4239448,239.0741537
320,0.014114444,6/10/81,2018-01-29T12:21:46.300961,Scotch,0.7,M,metric,31.49797282,277.7056529
321,0.099444031,737,2018-01-29T12:21:46.301139,Franziskaner Weissbier,3.7,,,44.4,191.46
322,0.112831519,46,2018-01-29T12:21:46.301290,vidka,4.9,meal,metric,218.2199979,270.3858029
323,0.067211615,56,2018-01-29T12:21:46.301461,Scotch,3.1,M,,4.65,211.57
324,0.042518742,429,2018-01-29T12:21:46.301620,whiskey,1.4,female,metric,61.5597141,274.1746547
325,0.064229646,63,2018-01-29T12:21:46.301784,whiskey,3.5,M,SI,156.069794,342.0447387
326,0.075510566,38,2018-01-29T12:21:46.301954,Cab,2.6,Female,metric,384.3823534,247.1264796
327,0.035961782,590,2018-01-29T12:21:46.302124,Wine,1,F,,5,140.89
328,0.083477569,49,2018-01-29T12:21:46.302268,Franziskaner Weissbier,2,,metric,711.8806813,187.0968175
329,0.120805523,60,2018-01-29T12:21:46.302439,Cab,3.7,Female,metric,547.7964752,243.8168001
330,0.089387607,409,2018-01-29T12:21:46.302615,Vino,4.4,M,,22,222.12
331,0.01262888,8/15/78,2018-01-29T12:21:46.302771,Vin,0.6,M,metric,89.25096226,294.0195954
332,0.008896067,11/21/58,2018-01-29T12:21:46.302946,whiskey,0.4,F,metric,18.18154692,241.6254861
333,0.078136137,643,2018-01-29T12:21:46.303139,Vino,2.3,,SI,340.5072888,227.1867452
334,0.193980053,271,2018-01-29T12:21:46.303299,Beer,7.8,male,,93.6,186.96
335,0.196714552,5/29/87,2018-01-29T12:21:46.303446,Bud Light,7.4,M,,88.8,174.84
336,0.06442355,22,2018-01-29T12:21:46.303604,Scotch,3.3,M,,4.95,241.75
337,0.025050106,1/3/88,2018-01-29T12:21:46.303763,whiskey,0.8,Female,,1.2,173.84
338,0.080622388,11/13/75,2018-01-29T12:21:46.303928,Bud Light,2.4,femeal,SI,852.8501284,250.7570633
339,0.136243927,632,2018-01-29T12:21:46.304104,shots,4.3,F,metric,192.0032578,259.4775776
340,0.055473854,593,2018-01-29T12:21:46.304263,Warsteiner,2,male,,24,150.5
341,0.04454094,40,2018-01-29T12:21:46.304409,Scotch,1.8,,,2.7,164.86
342,0.096323539,602,2018-01-29T12:21:46.304571,Merlot,4,M,metric,592.7819088,272.326506
343,0.073198048,727,2018-01-29T12:21:46.304728,Vin,1.7,femeal,metric,252.9626102,208.845088
344,0.043809613,649,2018-01-29T12:21:46.304885,Vino,1.4,M,metric,206.9642033,227.2614142
345,0.057903445,11/21/88,2018-01-29T12:21:46.305041,Merlot,3.4,meal,,17,227.33
346,0.091608422,10/21/73,2018-01-29T12:21:46.305200,whiskey,4,M,SI,176.9955143,290.357457
347,0.181075063,27,2018-01-29T12:21:46.305401,vidka,5.5,female,metric,243.734707,234.6659496
348,0.02436478,457,2018-01-29T12:21:46.305684,shots,1.3,male,,1.95,199.5
349,0.008088429,649,2018-01-29T12:21:46.305868,shots,0.5,Female,metric,21.17271103,267.6065027
350,0.008360138,63,2018-01-29T12:21:46.306042,Vin,0.4,M,SI,58.17468793,352.9122909
351,0.102065189,11/7/72,2018-01-29T12:21:46.306243,Bud Light,3.3,F,,39.6,186.65
352,0.31498111,270,2018-01-29T12:21:46.306416,Vin,8.9,F,SI,1318.600458,224.6100952
353,0.008474868,3/2/56,2018-01-29T12:21:46.306579,Franziskaner Weissbier,0.4,meal,metric,142.5965904,283.8616033
354,0.065195365,26,2018-01-29T12:21:46.306756,shots,2.8,meal,,4.2,190.83
355,0.111043453,302,2018-01-29T12:21:46.306917,Scotch,6,Male,,9,220.55
356,0.032644339,61,2018-01-29T12:21:46.307066,Merlot,1.2,M,,6,153.05
357,0.074193567,54,2018-01-29T12:21:46.307226,vidka,2.3,Female,,3.45,169.7
358,0.057741825,575,2018-01-29T12:21:46.307386,Beer,1.6,Female,,19.2,149.77
359,0.025190972,6/21/77,2018-01-29T12:21:46.307535,Wine,1.2,meal,,6,199.28
360,0.069895112,559,2018-01-29T12:21:46.307695,Scotch,3.2,meal,,4.8,191.89
361,0.042862616,483,2018-01-29T12:21:46.307841,Scotch,1.9,F,metric,83.59432231,300.790484
362,0.148431484,55,2018-01-29T12:21:46.308000,Cab,4,femeal,metric,592.4341883,223.9716983
363,0.052056241,37,2018-01-29T12:21:46.308170,IPA,2,meal,,24,173.9
364,0.180631407,1/22/91,2018-01-29T12:21:46.308336,Beer,7.4,Male,,88.8,198.27
365,0.048188023,52,2018-01-29T12:21:46.308695,Scotch,1,femeal,,1.5,130.46
366,0.049556134,5/23/95,2018-01-29T12:21:46.308916,Vino,2.2,Male,SI,327.4462035,267.3904318
367,0.037033221,685,2018-01-29T12:21:46.309122,Beer,1.8,Male,,21.6,207.54
368,0.169992673,39,2018-01-29T12:21:46.309290,shots,5.1,Female,,7.65,165.84
369,0.026212385,57,2018-01-29T12:21:46.309467,whiskey,0.9,female,,1.35,154.6
370,0.032549096,338,2018-01-29T12:21:46.309642,shots,1.8,male,metric,81.83972673,282.685933
371,0.215565618,361,2018-01-29T12:21:46.309827,IPA,6.6,female,,79.2,171.04
372,0.199965493,29,2018-01-29T12:21:46.309987,vidka,6,female,SI,267.3069073,249.3826972
373,0.087005097,698,2018-01-29T12:21:46.310173,whiskey,3,,,4.5,190.44
374,0.073998095,53,2018-01-29T12:21:46.310340,Scotch,2.8,Male,,4.2,179.81
375,0.017315349,27,2018-01-29T12:21:46.310513,Vino,0.9,Male,,4.5,187.59
376,0.013295852,583,2018-01-29T12:21:46.310687,Vino,0.5,Female,,2.5,189.34
377,0.00437164,61,2018-01-29T12:21:46.310845,Vin,0.4,,,2,155.05
378,0.097160883,56,2018-01-29T12:21:46.311023,Vino,3.1,,metric,461.6286335,204.284088
379,0.016050417,580,2018-01-29T12:21:46.311208,Franziskaner Weissbier,0.5,Male,metric,177.3985226,267.3564667
380,0.196009277,387,2018-01-29T12:21:46.311379,Vin,5.4,,SI,799.2713514,234.1493006
381,0.196146196,314,2018-01-29T12:21:46.311548,Beer,7.6,male,metric,2702.03091,252.8900754
382,0.050953714,61,2018-01-29T12:21:46.311743,vidka,2.4,Male,metric,106.5182821,276.8713459
383,0.033163514,661,2018-01-29T12:21:46.311930,Franziskaner Weissbier,0.9,Female,,10.8,146.38
384,0.113375994,308,2018-01-29T12:21:46.312082,Beer,3.9,female,,46.8,189.74
385,0.080981587,624,2018-01-29T12:21:46.312238,Beer,2.9,Female,,34.8,185.38
386,0.185111984,340,2018-01-29T12:21:46.312393,Wine,5.3,Female,SI,783.4010545,239.2010793
387,0.138549357,642,2018-01-29T12:21:46.312566,Scotch,4.2,female,,6.3,166.15
388,0.008198001,49,2018-01-29T12:21:46.312720,IPA,0.5,M,metric,177.6298654,216.0374467
389,0.102684094,698,2018-01-29T12:21:46.312900,shots,3.4,Female,SI,152.3528038,291.4801007
390,0.033646707,59,2018-01-29T12:21:46.313066,vidka,1.3,male,SI,58.39842498,294.9991815
391,0.112365302,316,2018-01-29T12:21:46.313250,vidka,3.8,F,metric,168.7561097,263.897088
392,0.038404404,437,2018-01-29T12:21:46.313416,Franziskaner Weissbier,2.1,meal,metric,746.9349301,293.4220959
393,0.06379773,760,2018-01-29T12:21:46.313581,Cab,2.4,M,SI,355.2617142,254.3274311
394,0.066892517,429,2018-01-29T12:21:46.313757,Merlot,2.8,Male,SI,413.8821865,284.8657394
395,0.027346949,11/18/71,2018-01-29T12:21:46.313924,Cab,1.1,Male,SI,163.1528996,321.3843632
396,0.016102789,6/21/84,2018-01-29T12:21:46.314243,shots,0.7,Male,,1.05,183.93
397,0.064793454,5/30/90,2018-01-29T12:21:46.314690,Vino,2.7,,,13.5,193.43
398,0.054775415,6/30/86,2018-01-29T12:21:46.314921,Scotch,2.4,male,metric,106.7348703,278.6779868
399,0.036186854,473,2018-01-29T12:21:46.315361,Cab,1.3,meal,,6.5,175.08
400,0.075086092,653,2018-01-29T12:21:46.315621,Bud Light,2.8,male,,33.6,178.26
401,0.016587858,369,2018-01-29T12:21:46.315833,Scotch,0.8,meal,,1.2,203.27
402,0.06090612,6/14/87,2018-01-29T12:21:46.316011,IPA,1.6,female,SI,566.2069811,211.4658893
403,0.060162327,573,2018-01-29T12:21:46.316229,Franziskaner Weissbier,2.6,male,metric,923.0958793,310.7468654
404,0.059551103,705,2018-01-29T12:21:46.316466,vidka,2.1,,,3.15,194.09
405,0.11971234,59,2018-01-29T12:21:46.316712,Merlot,2.9,female,,14.5,131.57
406,0.02462532,464,2018-01-29T12:21:46.316895,Merlot,1.3,meal,SI,192.1009252,289.935163
407,0.1358161,10/4/71,2018-01-29T12:21:46.317068,shots,3.8,F,,5.7,159.7
408,0.0824216,607,2018-01-29T12:21:46.317237,Beer,2.5,F,metric,888.9302412,237.3520106
409,0.032104607,521,2018-01-29T12:21:46.317462,Vin,1.2,female,metric,176.3784431,263.173455
410,0.031861762,674,2018-01-29T12:21:46.317877,shots,1.3,Male,,1.95,192.93
411,0.115807133,463,2018-01-29T12:21:46.318275,vidka,3.3,femeal,metric,147.796438,242.2391717
412,0.010598986,9/14/67,2018-01-29T12:21:46.318594,Cab,1,,,5,200.94
413,0.129050331,270,2018-01-29T12:21:46.318922,Cab,5.6,,,28,203.11
414,0.025516593,47,2018-01-29T12:21:46.319223,Merlot,1,meal,SI,148.3641272,334.5392397
415,0.077313524,11/30/62,2018-01-29T12:21:46.319531,Vin,3.6,M,,18,216.78
416,0.067372458,470,2018-01-29T12:21:46.319794,Scotch,1.9,Female,,2.85,143.53
417,0.169437376,294,2018-01-29T12:21:46.320132,Vin,5.1,femeal,,25.5,158.86
418,0.041646591,306,2018-01-29T12:21:46.320639,IPA,1,femeal,metric,354.6409334,230.106823
419,0.207529547,8/1/91,2018-01-29T12:21:46.321250,shots,8.5,Male,,12.75,183.91
420,0.02501077,9/15/69,2018-01-29T12:21:46.321921,Merlot,1,M,,5,190.22
421,0.05975334,294,2018-01-29T12:21:46.322530,Warsteiner,2,,,24,175.34
422,0.034064422,9/15/59,2018-01-29T12:21:46.323106,Beer,0.9,female,SI,320.4749451,278.0515301
423,0.157318358,40,2018-01-29T12:21:46.323632,IPA,5,F,,60,175.72
424,0.084111502,532,2018-01-29T12:21:46.323841,Wine,3.4,meal,SI,503.3375053,272.2954674
425,0.096343259,748,2018-01-29T12:21:46.324044,Beer,3.2,F,,38.4,176.11
426,0.077020156,694,2018-01-29T12:21:46.324260,Merlot,3.5,Male,metric,519.7322859,292.3967137
427,0.01507569,473,2018-01-29T12:21:46.324440,Franziskaner Weissbier,0.6,female,metric,213.2180481,229.5755494
428,0.055110065,9/25/53,2018-01-29T12:21:46.324709,Merlot,2.3,,SI,340.1662874,256.9775283
429,0.069797917,41,2018-01-29T12:21:46.324907,Warsteiner,3,M,,36,181.97
430,0.028969916,11/3/69,2018-01-29T12:21:46.325080,Bud Light,1,male,,12,208.09
431,0.073132521,39,2018-01-29T12:21:46.325245,Wine,1.9,Female,metric,280.2329777,205.1424798
432,0.018307095,408,2018-01-29T12:21:46.325424,Bud Light,0.7,Male,,8.4,183.86
433,0.173847576,44,2018-01-29T12:21:46.325591,shots,5,Female,metric,221.9368457,238.8586078
434,0.175057568,265,2018-01-29T12:21:46.325783,Warsteiner,7.9,meal,metric,2805.277803,297.9689089
435,0.205605783,33,2018-01-29T12:21:46.326202,Scotch,6,F,metric,267.3880593,247.6517601
436,0.074459223,5/22/55,2018-01-29T12:21:46.326457,IPA,2.4,Female,,28.8,182.33
437,0.120891609,4/19/82,2018-01-29T12:21:46.326669,Franziskaner Weissbier,4.9,female,metric,1740.803201,302.128369
438,0.08554461,54,2018-01-29T12:21:46.326890,Vin,3.2,M,metric,470.6300491,274.7827098
439,0.098996876,7/24/77,2018-01-29T12:21:46.327180,Beer,3.1,female,metric,1102.38022,232.9996876
440,0.10412256,7/26/64,2018-01-29T12:21:46.327557,Bud Light,4.2,M,metric,1493.34407,261.3674545
441,0.074661146,611,2018-01-29T12:21:46.327855,vidka,2.5,Male,,3.75,154.62
442,0.079737045,9/4/89,2018-01-29T12:21:46.328076,Cab,3.5,M,metric,516.1558075,273.8715741
443,0.086098069,45,2018-01-29T12:21:46.328631,Wine,2.8,male,metric,415.8049585,232.3803853
444,0.034888428,432,2018-01-29T12:21:46.328880,Beer,1.4,male,,16.8,179.02
445,0.036370619,523,2018-01-29T12:21:46.329050,shots,0.6,femeal,,0.9,135.36
446,0.071367474,36,2018-01-29T12:21:46.329202,whiskey,3.5,meal,SI,157.0926206,304.484474
447,0.031265248,2/25/55,2018-01-29T12:21:46.329398,IPA,1.2,M,,14.4,184.54
448,0.184752448,32,2018-01-29T12:21:46.329624,Bud Light,6.9,Male,SI,2452.318174,240.0867903
449,0.112969623,29,2018-01-29T12:21:46.329848,vidka,3.4,female,,5.1,185.99
450,0.059858584,763,2018-01-29T12:21:46.330008,IPA,2,Female,metric,710.9861253,281.1747205
451,0.122584703,748,2018-01-29T12:21:46.330177,Cab,3.6,F,SI,532.5848797,242.9850257
452,0.21113254,1/31/79,2018-01-29T12:21:46.330352,Warsteiner,5.8,F,,69.6,157.98
453,0.017257571,12/11/56,2018-01-29T12:21:46.330538,whiskey,0.4,Female,,0.6,150.39
454,0.024962434,5/2/86,2018-01-29T12:21:46.330717,vidka,0.8,,,1.2,154.72
455,0.127417447,21,2018-01-29T12:21:46.330915,Cab,3.5,femeal,metric,517.6621859,232.2939912
456,0.059669801,11/30/54,2018-01-29T12:21:46.331267,IPA,2,M,,24,179.76
457,0.124297671,459,2018-01-29T12:21:46.331455,Warsteiner,4.6,meal,SI,1633.334442,238.686115
458,0.027703088,63,2018-01-29T12:21:46.331624,Merlot,1.2,Male,SI,177.7330881,270.6640074
459,0.061594433,354,2018-01-29T12:21:46.331801,IPA,1.7,Female,SI,603.4292836,209.9090256
460,0.02497824,434,2018-01-29T12:21:46.331964,Franziskaner Weissbier,1.4,Male,,16.8,202.93
461,0.14087592,656,2018-01-29T12:21:46.332115,IPA,4.1,female,metric,1456.557164,238.1685837
462,0.15903153,30,2018-01-29T12:21:46.332276,shots,6.7,M,,10.05,203.21
463,0.11054227,11/26/95,2018-01-29T12:21:46.332441,Franziskaner Weissbier,3.4,,SI,1208.182727,236.7869933
464,0.050390783,44,2018-01-29T12:21:46.332618,Vin,2.3,Male,,11.5,182.69
465,0.066710934,629,2018-01-29T12:21:46.333458,Beer,1.9,Female,metric,675.1194447,227.8923852
466,0.251243916,322,2018-01-29T12:21:46.333996,vidka,7.5,Female,metric,332.106928,245.9339701
467,0.048063794,61,2018-01-29T12:21:46.334354,vidka,1.6,female,,2.4,186.69
468,0.096597346,12/13/94,2018-01-29T12:21:46.335291,Vino,3.3,Female,,16.5,184.52
469,0.044047837,12/30/66,2018-01-29T12:21:46.335735,Cab,1.5,Female,SI,222.0777971,311.0037335
470,0.207744318,27,2018-01-29T12:21:46.336071,Cab,6.4,female,metric,948.6314656,257.6390792
471,0.195273606,9/28/92,2018-01-29T12:21:46.336286,Franziskaner Weissbier,8.9,male,SI,3159.97494,306.2719249
472,0.055150134,50,2018-01-29T12:21:46.336629,Beer,1.5,female,,18,153.07
473,0.159192829,36,2018-01-29T12:21:46.336841,IPA,5.4,female,SI,1918.313741,274.080221
474,0.138793867,54,2018-01-29T12:21:46.337031,Franziskaner Weissbier,3.2,Female,,38.4,132.86
475,0.106438878,476,2018-01-29T12:21:46.337210,Bud Light,3.8,female,metric,1348.62866,301.1589212
476,0.136874428,259,2018-01-29T12:21:46.337438,Merlot,3.5,F,metric,518.4141764,205.5627186
477,0.12831703,573,2018-01-29T12:21:46.337748,Franziskaner Weissbier,4.7,male,metric,1668.667668,248.1419256
478,0.053782027,6/6/66,2018-01-29T12:21:46.338159,whiskey,1.5,Female,metric,67.38006862,210.7055699
479,0.051696088,399,2018-01-29T12:21:46.339236,Merlot,1.5,F,,7.5,151.64
480,0.124687479,34,2018-01-29T12:21:46.340222,Franziskaner Weissbier,5.1,meal,metric,1811.96212,269.9711808
481,0.246278305,412,2018-01-29T12:21:46.340751,Vin,6.5,F,,32.5,148.54
482,0.009137084,518,2018-01-29T12:21:46.341085,Franziskaner Weissbier,0.6,M,,7.2,184.93
483,0.143903473,343,2018-01-29T12:21:46.341370,whiskey,3.5,female,SI,155.5984172,198.7808382
484,0.079786688,665,2018-01-29T12:21:46.341851,Merlot,2.7,female,metric,398.3161164,273.1517371
485,0.221459816,442,2018-01-29T12:21:46.342171,shots,5.4,,metric,240.5398629,193.0017497
486,0.124636206,348,2018-01-29T12:21:46.342451,Scotch,3.5,Female,,5.25,147.47
487,0.035163762,9/15/56,2018-01-29T12:21:46.342792,Franziskaner Weissbier,1.6,meal,metric,568.6487635,280.9042118
488,0.173942267,411,2018-01-29T12:21:46.343083,Scotch,4.4,Female,,6.6,145.91
489,0.15916595,294,2018-01-29T12:21:46.343326,shots,7.1,Male,,10.65,194.78
490,0.307727976,282,2018-01-29T12:21:46.343601,Cab,9.5,F,metric,1406.728559,256.1723761
491,0.024025027,4/16/62,2018-01-29T12:21:46.343810,Cab,0.9,M,metric,135.1154328,293.4620316
492,0.063195241,10/6/54,2018-01-29T12:21:46.343990,Cab,1.6,female,metric,236.0911492,207.9046739
493,0.350398905,294,2018-01-29T12:21:46.344181,Bud Light,9.2,F,SI,3268.175448,210.9439687
494,0.346343815,3/4/92,2018-01-29T12:21:46.344656,whiskey,8.8,femeal,,13.2,142.39
495,0.265502719,309,2018-01-29T12:21:46.344944,Warsteiner,7.8,Female,,93.6,163.34
496,0.214440699,472,2018-01-29T12:21:46.345225,whiskey,5.7,,metric,251.9086881,219.6639059
497,0.044109139,62,2018-01-29T12:21:46.345437,Scotch,1.6,Male,metric,70.39596835,256.5342425
498,0.149185114,370,2018-01-29T12:21:46.345641,shots,6.5,meal,,9.75,192.61
499,0.032787177,770,2018-01-29T12:21:46.345803,Vin,1.2,Male,SI,177.0454264,275.0439598
500,0.062739422,47,2018-01-29T12:21:46.345976,Vin,2.1,F,,10.5,181.67
501,0.032114892,686,2018-01-29T12:21:46.346157,Vino,1.3,meal,,6.5,212.82
502,0.093191126,653,2018-01-29T12:21:46.346305,IPA,3.2,female,,38.4,182.92
503,0.066467772,309,2018-01-29T12:21:46.346464,Vino,2,F,metric,294.6090882,275.7097309
504,0.029917061,564,2018-01-29T12:21:46.346624,Scotch,1.1,,,1.65,187.42
505,0.073074249,455,2018-01-29T12:21:46.346770,Franziskaner Weissbier,2.6,male,SI,923.5840428,273.5739455
506,0.020567789,610,2018-01-29T12:21:46.346944,vidka,0.5,Female,,0.75,141.94
507,0.056441742,9/7/71,2018-01-29T12:21:46.347092,Vino,2.2,meal,,11,179.32
508,0.133110819,41,2018-01-29T12:21:46.347259,Vino,4.2,femeal,metric,621.4498452,242.4887807
509,0.048393169,725,2018-01-29T12:21:46.347507,Beer,2.1,male,SI,748.3389926,293.1654162
510,0.04226093,9/26/58,2018-01-29T12:21:46.347808,Wine,1.7,Male,,8.5,200.38
511,0.345490355,254,2018-01-29T12:21:46.348178,IPA,9.4,female,metric,3339.030381,226.1595502
512,0.100297571,37,2018-01-29T12:21:46.348484,Vino,4.7,male,SI,696.03743,285.2380475
513,0.091048382,653,2018-01-29T12:21:46.348902,Beer,2.3,Female,,27.6,151.74
514,0.014587775,61,2018-01-29T12:21:46.349167,vidka,0.4,female,,0.6,171.01
515,0.065116529,634,2018-01-29T12:21:46.349355,Vino,3.3,M,metric,487.8784444,302.9426459
516,0.100938815,10/31/81,2018-01-29T12:21:46.349527,Beer,4.1,meal,SI,1456.349241,262.4104413
517,0.019369141,271,2018-01-29T12:21:46.349716,IPA,1.1,,metric,390.7893893,261.5923394
518,0.141330761,2/24/60,2018-01-29T12:21:46.349878,Vino,3.9,F,SI,577.549732,228.4436979
519,0.014975836,10/21/62,2018-01-29T12:21:46.350053,Beer,0.5,F,,6,157.93
520,0.026833511,596,2018-01-29T12:21:46.350214,Beer,1,M,,12,187.89
521,0.037124426,351,2018-01-29T12:21:46.350370,Vin,0.9,Male,SI,132.1170957,224.6147664
522,0.076703989,563,2018-01-29T12:21:46.350529,vidka,3.7,M,,5.55,213.21
523,0.173369413,328,2018-01-29T12:21:46.350675,Scotch,7.3,Male,metric,323.8517525,280.0735983
524,0.04523297,638,2018-01-29T12:21:46.350832,Vino,1.4,femeal,,7,181.17
525,0.144267423,28,2018-01-29T12:21:46.351027,Vin,4.5,,,22.5,177.92
526,0.019909828,43,2018-01-29T12:21:46.351406,whiskey,0.6,F,metric,26.83766827,225.4949901
527,0.286463771,10/13/90,2018-01-29T12:21:46.351644,Vin,8.3,femeal,,41.5,155.77
528,0.10741961,750,2018-01-29T12:21:46.351887,whiskey,3.6,,,5.4,167.49
529,0.057636228,33,2018-01-29T12:21:46.352140,Cab,1.5,femeal,,7.5,169.98
530,0.026364538,526,2018-01-29T12:21:46.352397,Beer,1.1,Male,,13.2,207.36
531,0.013597333,486,2018-01-29T12:21:46.352560,whiskey,0.6,M,SI,28.18925126,350.3341721
532,0.036627077,510,2018-01-29T12:21:46.352818,Bud Light,1.8,Male,,21.6,175.45
533,0.098955068,734,2018-01-29T12:21:46.353008,Beer,3.7,Female,metric,1314.439443,296.55088
534,0.149342775,38,2018-01-29T12:21:46.353327,IPA,3.9,female,metric,1385.244155,236.1082551
535,0.108234866,533,2018-01-29T12:21:46.353650,Wine,3.4,Female,,17,172.56
536,0.201687302,325,2018-01-29T12:21:46.354005,Cab,7.4,M,SI,1094.386099,236.8322191
537,0.176019394,23,2018-01-29T12:21:46.354222,whiskey,7.5,male,SI,333.079669,280.5291686
538,0.173286261,26,2018-01-29T12:21:46.354519,Vin,5.6,femeal,,28,194
539,0.177307606,30,2018-01-29T12:21:46.355101,vidka,7.4,M,,11.1,183.13
540,0.032019256,480,2018-01-29T12:21:46.355477,Vin,1.3,Male,SI,192.0357481,267.1421003
541,0.095621961,659,2018-01-29T12:21:46.356046,vidka,2.7,female,metric,121.2579796,230.3840856
542,0.242405325,348,2018-01-29T12:21:46.356733,shots,6,Female,,9,136.84
543,0.154384519,29,2018-01-29T12:21:46.357377,IPA,5,Female,,60,171.69
544,0.115493833,7/1/94,2018-01-29T12:21:46.357749,vidka,5.3,meal,SI,232.7197362,302.1786243
545,0.195535541,36,2018-01-29T12:21:46.358004,Merlot,6.1,F,SI,902.7168855,253.5455371
546,0.049492904,53,2018-01-29T12:21:46.358247,IPA,2.3,M,metric,818.1620447,300.0806502
547,0.131989523,55,2018-01-29T12:21:46.358504,Wine,4.1,F,,20.5,173.64
548,0.032379419,628,2018-01-29T12:21:46.358923,Vino,1.4,male,SI,206.9543672,258.8507519
549,0.279317954,285,2018-01-29T12:21:46.359240,Warsteiner,9.5,female,metric,3374.706709,275.2317024
550,0.040455793,11/26/82,2018-01-29T12:21:46.359493,IPA,1.4,female,,16.8,203.25
551,0.039433431,720,2018-01-29T12:21:46.359734,vidka,1.3,F,,1.95,181.72
552,0.047638883,772,2018-01-29T12:21:46.359946,Beer,1.6,,,19.2,209.31
553,0.221940718,399,2018-01-29T12:21:46.360230,Cab,6.8,femeal,SI,1007.159635,253.5300355
554,0.239222116,433,2018-01-29T12:21:46.360449,Bud Light,6.3,Female,,75.6,148.7
555,0.138804288,41,2018-01-29T12:21:46.360607,Vin,4.3,,,21.5,170.5
556,0.111778964,735,2018-01-29T12:21:46.360778,IPA,3.3,Female,metric,1171.259567,251.7445146
557,0.128717951,700,2018-01-29T12:21:46.360998,Franziskaner Weissbier,3.4,Female,,40.8,152.39
